x koordináta	y koordináta	magasság
18,897380	47,718829	694,0		x minimum	y minimum
18,898030	47,718773	694,0
18,898104	47,718886	694,0		x maximum	y maximum
18,898063	47,718936	694,0
18,898016	47,718993	694,0
18,898111	47,718976	694,2		magasság minimum
18,898096	47,719089	693,4
18,898580	47,719540	692,6		x	y
18,898745	47,719845	691,0
18,898917	47,719830	690,2
18,899229	47,719801	689,2
18,899672	47,719659	688,4
18,899549	47,719863	687,6
18,899468	47,719924	688,0
18,899904	47,719896	687,6
18,900182	47,719929	686,8
18,900565	47,720111	687,2
18,900593	47,720191	681,0
18,900342	47,720216	674,4
18,900580	47,720392	668,8
18,900726	47,720591	656,0
18,901092	47,720650	642,8
18,901682	47,721142	636,2
18,901738	47,721261	629,6
18,901965	47,721273	614,0
18,901958	47,721757	600,4
18,902014	47,722054	586,8
18,902280	47,722358	572,0
18,902577	47,722955	557,2
18,902633	47,723234	549,2
18,903257	47,723475	546,8
18,903314	47,723543	544,4
18,902756	47,723753	543,2
18,902310	47,723759	542,0
18,902041	47,723712	539,2
18,901689	47,723549	542,6
18,901361	47,723169	545,2
18,901177	47,723046	547,8
18,900493	47,722810	550,4
18,900210	47,722632	549,2
18,900120	47,722627	541,8
18,899983	47,722680	535,2
18,899726	47,723205	527,2
18,899618	47,723269	521,0
18,899620	47,723337	517,2
18,898896	47,724153	512,4
18,898557	47,724438	507,6
18,898119	47,724727	505,6
18,897837	47,724736	501,8
18,897220	47,724860	500,4
18,896789	47,725030	500,0
18,896722	47,725114	497,8
18,896658	47,725896	496,4
18,896667	47,726208	495,0
18,896543	47,726395	489,8
18,896103	47,726624	484,6
18,895791	47,726957	480,6
18,895631	47,727326	474,4
18,895510	47,727342	468,2
18,895322	47,728033	467,6
18,895188	47,728045	469,6
18,894838	47,728329	472,2
18,894690	47,728352	472,8
18,894429	47,728266	473,4
18,894249	47,728593	474,0
18,894121	47,729247	471,8
18,894145	47,729394	469,6
18,893902	47,729498	469,4
18,893375	47,729723	469,2
18,893168	47,729898	469,0
18,893177	47,730118	467,0
18,893286	47,730229	464,2
18,893472	47,730287	461,4
18,893937	47,730316	458,6
18,894706	47,730614	457,4
18,894223	47,730901	457,6
18,894816	47,731151	458,6
18,894712	47,731367	459,0
18,894394	47,731625	459,4
18,894246	47,731998	457,0
18,893683	47,732383	450,6
18,893347	47,732767	444,2
18,892677	47,732742	436,4
18,892063	47,732945	426,6
18,891537	47,732955	418,0
18,890620	47,733673	414,6
18,890332	47,734096	411,2
18,890167	47,734526	409,8
18,889552	47,734985	411,8
18,889072	47,735216	413,2
18,887948	47,735561	415,4
18,887825	47,735741	417,6
18,887146	47,736300	418,8
18,886568	47,736819	418,6
18,887069	47,736855	416,8
18,888189	47,737134	411,6
18,888323	47,737171	406,4
18,888936	47,737591	399,2
18,890040	47,737769	392,0
18,890392	47,737780	387,0
18,891333	47,737394	381,4
18,891817	47,737397	376,4
18,892029	47,737491	373,8
18,892245	47,737845	371,2
18,892365	47,738326	366,8
18,892398	47,738995	365,0
18,892394	47,739314	361,6
18,892327	47,739739	357,4
18,892365	47,740140	351,4
18,891759	47,740838	347,8
18,890291	47,742023	344,2
18,889907	47,742178	341,6
18,889569	47,742430	336,4
18,889497	47,742682	333,0
18,889540	47,742812	329,0
18,889641	47,743115	319,6
18,889931	47,743381	312,2
18,890398	47,743531	308,8
18,890489	47,743778	305,4
18,890329	47,744041	302,0
18,890352	47,744184	304,6
18,890292	47,744291	305,4
18,890111	47,744387	306,2
18,889219	47,744287	304,6
18,888719	47,744399	301,2
18,888625	47,744473	297,2
18,888682	47,744589	291,6
18,888927	47,744730	283,8
18,889250	47,744825	278,4
18,890340	47,745012	274,4
18,891739	47,744779	270,4
18,892009	47,744677	265,8
18,892528	47,744633	263,4
18,892758	47,744735	261,4
18,894205	47,745002	259,8
18,894371	47,745129	254,6
18,894771	47,745190	249,8
18,895249	47,745335	243,8
18,896132	47,745602	237,4
18,896867	47,745619	231,0
18,897146	47,745664	228,0
18,897545	47,745543	226,6
18,897800	47,745565	226,0
18,898339	47,745811	225,4
18,898488	47,745818	225,8
18,898833	47,745946	222,8
18,899361	47,745995	219,8
18,899627	47,746114	217,0
18,899834	47,746463	214,2
18,900050	47,746604	210,8
18,900464	47,746760	208,0
18,900587	47,746956	207,0
18,901033	47,747299	203,2
18,901989	47,747573	201,4
18,903051	47,747450	199,2
18,902887	47,747143	201,0
18,902884	47,746846	201,0
18,902758	47,746563	205,4
18,902729	47,746199	208,8
18,902586	47,745665	211,6
18,902495	47,744722	213,4
18,902293	47,744550	215,2
18,902083	47,744170	217,2
18,901948	47,744053	218,2
18,901746	47,743994	221,6
18,901177	47,743999	226,4
18,900587	47,744227	233,2
18,899743	47,744336	238,4
18,899158	47,744257	244,4
18,898613	47,744082	248,6
18,898343	47,743840	253,0
18,898343	47,743360	259,0
18,898197	47,743239	267,6
18,897745	47,743091	276,6
18,896658	47,742612	287,0
18,895362	47,742226	301,8
18,894734	47,741875	314,6
18,894524	47,741456	324,8
18,893935	47,739445	333,8
18,893957	47,738634	341,4
18,893699	47,738427	343,0
18,893848	47,738273	343,0
18,893746	47,738027	345,2
18,893768	47,737938	347,4
18,893550	47,737936	349,6
18,893469	47,737786	354,6
18,893449	47,737416	362,2
18,893352	47,737327	367,6
18,892866	47,737316	373,0
18,892040	47,737110	378,4
18,891918	47,737151	382,6
18,891877	47,737118	384,2
18,891659	47,737150	387,0
18,891698	47,737030	389,8
18,891414	47,737045	391,6
18,891207	47,736920	393,0
18,891007	47,736999	394,4
18,890624	47,737130	394,6
18,890239	47,737275	394,8
18,890206	47,737302	396,0
18,890134	47,737353	398,0
18,889920	47,737407	402,2
18,889891	47,737346	406,4
18,889555	47,737387	410,6
18,888472	47,737108	415,8
18,888323	47,737171	419,0
18,888189	47,737134	420,0
18,887069	47,736855	422,0
18,886568	47,736819	424,0
18,886415	47,736817	425,0
18,886083	47,736762	427,6
18,886129	47,736566	435,0
18,885956	47,736493	441,6
18,885111	47,736270	446,4
18,883779	47,736147	458,6
