Azonosító	Rajt	Cél
YZ984	9:15:30	
FD551	9:17:05	10:29:11
GA563	9:18:40	10:33:51
QS195	9:20:08	10:37:23
WY672	9:21:38	10:29:03
JD329	9:23:12	10:43:00
EM426	9:24:45	10:41:19
YV120	9:26:16	
SQ910	9:27:43	10:45:46
YX247	9:29:17	10:37:07
TI314	9:30:52	10:44:49
RX410	9:32:20	10:45:23
TP138	9:33:47	10:43:39
GG434	9:35:14	10:50:26
MD426	9:36:46	10:56:00
SI707	9:38:18	10:46:55
JC124	9:39:52	10:49:17
FX698	9:41:21	10:53:00
IE789	9:42:51	10:51:36
CY823	9:44:25	10:57:41
YB161	9:45:54	10:59:45
JL404	9:47:28	11:02:25
XQ480	9:49:00	10:56:38
ES386	9:50:30	11:09:27
PA926	9:51:58	
QO614	9:53:27	11:10:57
CK895	9:54:57	11:04:49
NB499	9:56:25	11:16:07
SC180	9:57:59	11:05:49
EU253	9:59:29	11:17:38
LF234	10:00:59	11:09:42
PT650	10:02:30	11:15:08
FM114	10:03:59	11:12:46
KN731	10:05:33	11:25:04
YT158	10:07:05	11:22:04
PD853	10:08:38	11:18:54
